,job_title,experience_level,employment_type,company_size,company_location,remote_ratio,salary_currency,years_experience,base_salary,bonus,stock_options,total_salary,salary_in_usd,currency,education,skills,conversion_rate,adjusted_total_usd
0,Data Analyst,Mid,Contract,Medium,Germany,0,INR,13,68407.45174688693,1100,19325,88832.45174688693,1065.9894209626432,USD,,,1.0,88832.45174688693
1,DevOps Engineer,Mid,Contract,Small,India,100,GBP,9,64193.11777463037,2194,19164,85551.11777463037,111216.4531070195,EUR,,,1.1,94106.2295520934
2,Research Scientist,Lead,,Medium,Germany,0,EUR,19,136071.84289891602,3206,12735,152012.84289891602,167214.12718880764,EUR,,,1.1,167214.12718880764
3,Software Engr,Lead,Full-time,Large,India,50,INR,7,141850.9053346147,9594,11158,162602.9053346147,19512.348640153767,USD,,,1.0,162602.9053346147
4,Software Engr,Lead,Intern,Large,Germany,100,INR,10,121841.1632262698,6796,806,129443.1632262698,1553.3179587152376,INR,,,0.012,1553.3179587152376
5,Data Analyst,Mid,Contract,Large,UK,0,EUR,14,58008.48567409824,6419,22462,86889.48567409825,95578.43424150808,EUR,,,1.1,95578.43424150808
6,Dt Scientist,Lead,Intern,Small,Canada,0,EUR,15,126109.48212361592,5074,1660,132843.48212361592,146127.83033597752,INR,,,0.012,1594.121785483391
7,DevOps Engineer,Lead,Intern,Medium,India,50,INR,19,121069.47620544094,8075,27588,156732.47620544094,1880.789714465292,USD,,,1.0,156732.47620544094
8,ML Enginer,,,Large,Canada,50,GBP,12,92078.01226078976,5997,9567,107642.01226078976,139934.61593902667,CAD,,,0.75,80731.50919559233
9,Data Analyst,Senior,Full-time,Large,India,0,CAD,7,105153.99481563125,717,22369,128239.99481563125,96179.99611172342,INR,,,0.012,1538.879937787575
